ŠIFRA,NAZIV
4613,Posredovanje u prodaji drvne građe i građevinskog materijala
4614,"Posredovanje u prodaji mašina, industrijske opreme, brodova i aviona"
4615,"Posredovanje u prodaji nameštaja, predmeta za domaćinstvo i metalne robe"
4616,"Posredovanje u prodaji tekstila, odeće, krzna, obuće i predmeta od kože"
4617,"Posredovanje u prodaji hrane, pića i duvana"
4618,Specijalizovano posredovanje u prodaji posebnih proizvoda
4619,Posredovanje u prodaji raznovrsnih proizvoda
462,Trgovina na veliko poljoprivrednim sirovinama i životinjama
4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje"
4622,Trgovina na veliko cvećem i sadnicama
4623,Trgovina na veliko životinjama
4624,"Trgovina na veliko sirovom, nedovršenom i dovršenom kožom"
463,"Trgovina na veliko hranom, pićima i duvanom"
4631,Trgovina na veliko voćem i povrćem
4632,Trgovina na veliko mesom i proizvodima od mesa
4633,"Trgovina na veliko mlečnim proizvodima, jajima i jestivim uljima i mastima"
4634,Trgovina na veliko pićima
4635,Trgovina na veliko duvanskim proizvodima
4636,"Trgovina na veliko šećerom, čokoladom i slatkišima"
4637,"Trgovina na veliko kafom, čajevima, kakaom i začinima"
4638,"Trgovina na veliko ostalom hranom, uključujući ribu, ljuskare i mekušce"
4639,"Nespecijalizovana trgovina na veliko hranom, pićima i duvanom"
464,Trgovina na veliko predmetima za domaćinstvo
4641,Trgovina na veliko tekstilom
4642,Trgovina na veliko odećom i obućom
4643,Trgovina na veliko električnim aparatima za domaćinstvo
4644,"Trgovina na veliko porculanom, staklenom robom i sredstvima za čišćenje"
4645,Trgovina na veliko parfimerijskim i kozmetičkim proizvodima
4646,Trgovina na veliko farmaceutskim proizvodima
4647,"Trgovina na veliko nameštajem, tepisima i opremom za osvetljenje"
4648,Trgovina na veliko satovima i nakitom
4649,Trgovina na veliko ostalim proizvodima za domaćinstvo
465,Trgovina na veliko informaciono-komunikacionom opremom
4651,"Trgovina na veliko računarima, računarskom opremom i softverima"
4652,Trgovina na veliko elektronskim i telekomunikacionim delovima i opremom
466,"Trgovina na veliko ostalim mašinama, opremom i priborom"
4661,"Trgovina na veliko poljoprivrednim mašinama, opremom i priborom"
4662,Trgovina na veliko alatnim mašinama
4663,Trgovina na veliko rudarskim i građevinskim mašinama
4664,Trgovina na veliko mašinama za tekstilnu industriju i mašinama za šivenje i pletenje
4665,Trgovina na veliko kancelarijskim nameštajem
4666,Trgovina na veliko ostalim kancelarijskim mašinama i opremom
4669,Trgovina na veliko ostalim mašinama i opremom
467,Ostala specijalizovana trgovina na veliko
4671,"Trgovina na veliko čvrstim, tečnim i gasovitim gorivima i sličnim proizvodima"
4672,Trgovina na veliko metalima i metalnim rudama
4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom"
4674,"Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje"
4675,Trgovina na veliko hemijskim proizvodima
4676,Trgovina na veliko ostalim poluproizvodima
4677,Trgovina na veliko otpacima i ostacima
469,Nespecijalizovana trgovina na veliko
4690,Nespecijalizovana trgovina na veliko
47,"Trgovina na malo, osim trgovine motornim vozilima i motociklima"
471,Trgovina na malo u nespecijalizovanim prodavnicama
4711,"Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom"
4719,Ostala trgovina na malo u nespecijalizovanim prodavnicama
472,"Trgovina na malo hranom, pićima i duvanom u specijalizovanim prodavnicama"
4721,Trgovina na malo voćem i povrćem u specijalizovanim prodavnicama
4722,Trgovina na malo mesom i proizvodima od mesa u specijalizovanim prodavnicama
4723,"Trgovina na malo ribom, ljuskarima i mekušcima u specijalizovanim prodavnicama"
4724,"Trgovina na malo hlebom, testeninom, kolačima i slatkišima u specijalizovanim prodavnicama"
4725,Trgovina na malo pićima u specijalizovanim prodavnicama
4726,Trgovina na malo proizvodima od duvana u specijalizovanim prodavnicama
4729,Ostala trgovina na malo hranom u specijalizovanim prodavnicama
473,Trgovina na malo motornim gorivima u specijalizovanim prodavnicama
4730,Trgovina na malo motornim gorivima u specijalizovanim prodavnicama
474,Trgovina na malo informaciono-komunikacionom opremom u specijalizovanim prodavnicama
4741,"Trgovina na malo računarima, perifernim jedinicama i softverom u specijalizovanim prodavnicama"
4742,Trgovina na malo telekomunikacionom opremom u specijalizovanim prodavnicama
4743,Trgovina na malo audio i video opremom u specijalizovanim prodavnicama
475,Trgovina na malo ostalom opremom za domaćinstvo u specijalizovanim prodavnicama
4751,Trgovina na malo tekstilom u specijalizovanim prodavnicama
4752,"Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama"
4753,"Trgovina na malo tepisima, zidnim i podnim oblogama u specijalizovanim prodavnicama"
4754,Trgovina na malo električnim aparatima za domaćinstvo u specijalizovanim prodavnicama
4759,"Trgovina na malo nameštajem, opremom za osvetljenje i ostalim predmetima za domaćinstvo u specijalizovanim prodavnicama"
476,Trgovina na malo predmetima za kulturu i rekreaciju u specijalizovanim prodavnicama
4761,Trgovina na malo knjigama u specijalizovanim prodavnicama
4762,Trgovina na malo novinama i kancelarijskim materijalom u specijalizovanim prodavnicama
4763,Trgovina na malo muzičkim i video zapisima u specijalizovanim prodavnicama
4764,Trgovina na malo sportskom opremom u specijalizovanim prodavnicama
4765,Trgovina na malo igrama i igračkama u specijalizovanim prodavnicama
477,Trgovina na malo ostalom robom u specijalizovanim prodavnicama
4771,Trgovina na malo odećom u specijalizovanim prodavnicama
4772,Trgovina na malo obućom i predmetima od kože u specijalizovanim prodavnicama
4773,Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama
4774,Trgovina na malo medicinskim i ortopedskim pomagalima u specijalizovanim prodavnicama
4775,Trgovina na malo kozmetičkim i toaletnim proizvodima u specijalizovanim prodavnicama
4776,"Trgovina na malo cvećem, sadnicama, semenjem, đubrivima, kućnim ljubimcima i hranom za kućne ljubimce u specijalizovanim prodavnicama"
4777,Trgovina na malo satovima i nakitom u specijalizovanim prodavnicama
4778,Ostala trgovina na malo novim proizvodima u specijalizovanim prodavnicama
4779,Trgovina na malo polovnom robom u prodavnicama
478,Trgovina na malo na tezgama i pijacama
4781,"Trgovina na malo hranom, pićima i duvanskim proizvodima na tezgama i pijacama"
4782,"Trgovina na malo tekstilom, odećom i obućom na tezgama i pijacama"
4789,Trgovina na malo ostalom robom na tezgama i pijacama
479,"Trgovina na malo van prodavnica, tezgi i pijaca"
4791,Trgovina na malo posredstvom pošte ili preko interneta
4799,"Ostala trgovina na malo izvan prodavnica, tezgi i pijaca"
H,SAOBRAĆAJ I SKLADIŠTENjE
49,Kopneni saobraćaj i cevovodni transport
491,"Železnički prevoz putnika, daljinski i regionalni"
4910,"Železnički prevoz putnika, daljinski i regionalni"
492,Železnički prevoz tereta
4920,Železnički prevoz tereta
493,Ostali kopneni prevoz putnika
4931,Gradski i prigradski kopneni prevoz putnika
4932,Taksi prevoz
4939,Ostali prevoz putnika u kopnenom saobraćaju
494,Drumski prevoz tereta i usluge preseljenja
4941,Drumski prevoz tereta
4942,Usluge preseljenja
495,Cevovodni transport
4950,Cevovodni transport
50,Vodeni saobraćaj
501,Pomorski i priobalni prevoz putnika
5010,Pomorski i priobalni prevoz putnika
502,Pomorski i priobalni prevoz tereta
5020,Pomorski i priobalni prevoz tereta
503,Prevoz putnika unutrašnjim plovnim putevima
5030,Prevoz putnika unutrašnjim plovnim putevima
504,Prevoz tereta unutrašnjim plovnim putevima
5040,Prevoz tereta unutrašnjim plovnim putevima
51,Vazdušni saobraćaj
511,Vazdušni prevoz putnika
5110,Vazdušni prevoz putnika
512,Vazdušni prevoz tereta i vasionski saobraćaj
5121,Vazdušni prevoz tereta
5122,Vasionski saobraćaj
52,Skladištenje i prateće aktivnosti u saobraćaju
521,Skladištenje
5210,Skladištenje
522,Prateće aktivnosti u saobraćaju
5221,Uslužne delatnosti u kopnenom saobraćaju
5222,Uslužne delatnosti u vodenom saobraćaju
5223,Uslužne delatnosti u vazdušnom saobraćaju
5224,Manipulacija teretom
5229,Ostale prateće delatnosti u saobraćaju
53,Poštanske aktivnosti
531,Poštanske aktivnosti javnog servisa
5310,Poštanske aktivnosti javnog servisa
532,Poštanske aktivnosti komercijalnog servisa
5320,Poštanske aktivnosti komercijalnog servisa
I,USLUGE SMEŠTAJA I ISHRANE
55,Smeštaj
551,Hoteli i sličan smeštaj
5510,Hoteli i sličan smeštaj
552,Odmarališta i slični objekti za kraći boravak
5520,Odmarališta i slični objekti za kraći boravak
553,"Delatnost kampova, auto-kampova i kampova za turističke prikolice "
5530,"Delatnost kampova, auto-kampova i kampova za turističke prikolice"
559,Ostali smeštaj
5590,Ostali smeštaj
56,Delatnost pripremanja i posluživanja hrane i pića
561,Delatnosti restorana i pokretnih ugostiteljskih objekta
5610,Delatnosti restorana i pokretnih ugostiteljskih objekta
562,Ketering i ostale usluge pripremanja i posluživanja hrane
5621,Ketering
5629,Ostale usluge pripremanja i posluživanja hrane
563,Usluge pripremanja i posluživanja pića
5630,Usluge pripremanja i posluživanja pića
J,INFORMISANjE I KOMUNIKACIJE
58,Izdavačke delatnosti
581,"Izdavanje knjiga, časopisa i druge izdavačke delatnosti"
5811,Izdavanje knjiga
5812,Izdavanje imenika i adresara
5813,Izdavanje novina
5814,Izdavanje časopisa i periodičnih izdanja
5819,Ostala izdavačka delatnost
582,Izdavanje softvera
5821,Izdavanje računarskih igara
5829,Izdavanje ostalih softvera
59,"Kinematografska i televizijska produkcija, snimanje zvučnih zapisa i izdavanje muzičkih zapisa"
591,Kinematografska i televizijska produkcija
5911,"Proizvodnja kinematografskih dela, audio-vizuelnih proizvoda i televizijskog programa"
5912,Delatnosti koje slede nakon faze snimanja u proizvodnji kinematografskih dela i televizijskog programa
5913,"Distribucija kinematografskih dela, audio-vizuelnih dela i televizijskog programa"
5914,Delatnost prikazivanja kinematografskih dela
592,Snimanje i izdavanje zvučnih zapisa i muzike
5920,Snimanje i izdavanje zvučnih zapisa i muzike
60,Programske aktivnosti i emitovanje
601,Emitovanje radio-programa
6010,Emitovanje radio-programa
602,Proizvodnja i emitovanje televizijskog programa
6020,Proizvodnja i emitovanje televizijskog programa
61,Telekomunikacije
611,Kablovske telekomunikacije
6110,Kablovske telekomunikacije
612,Bežične telekomunikacije
6120,Bežične telekomunikacije
613,Satelitske telekomunikacije
6130,Satelitske telekomunikacije
619,Ostale telekomunikacione delatnosti
6190,Ostale telekomunikacione delatnosti
62,"Računarsko programiranje, konsultantske i s tim povezane delatnosti"
620,"Računarsko programiranje, konsultantske i s tim povezane delatnosti"
6201,Računarsko programiranje
6202,Konsultantske delatnosti u oblasti informacione tehnologije
6203,Upravljanje računarskom opremom
6209,Ostale usluge informacione tehnologije
63,Informacione uslužne delatnosti
631,"Obrada podataka, hosting i s tim povezane delatnosti; veb portali"
6311,"Obrada podataka, hosting i sl."
6312,Veb portali
639,Ostale informacione uslužne delatnosti
6391,Delatnosti novinskih agencija
6399,Informacione uslužne delatnosti na drugom mestu nepomenute
K,FINANSIJSKE DELATNOSTI I DELATNOST OSIGURANjA
64,"Finansijske usluge, osim osiguranja i penzijskih fondova"
641,Monetarno posredovanje
6411,Centralna banka
6419,Ostalo monetarno posredovanje
642,Delatnost holding kompanija
6420,Delatnost holding kompanija
643,"Poverenički fondovi (trastovi), investicioni fondovi i slični finansijski entiteti"
6430,"Poverenički fondovi (trastovi), investicioni fondovi i slični finansijski entiteti"
649,"Ostale finansijske usluge, osim osiguranja i penzijskih fondova"
6491,Finansijski lizing
6492,Ostale usluge kreditiranja
6499,"Ostale nepomenute finansijske usluge, osim osiguranja i penzijskih fondova"
65,"Osiguranje, reosiguranje i penzijski fondovi, osim obaveznog socijalnog osiguranja"
651,Osiguranje
6511,Životno osiguranje
6512,Neživotno osiguranje
652,Reosiguranje
6520,Reosiguranje
653,Penzijski fondovi
6530,Penzijski fondovi
66,Pomoćne delatnosti u pružanju finansijskih usluga i osiguranju
661,"Pomoćne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova"
6611,Finansijske i robne berze
6612,Brokerski poslovi s hartijama od vrednosti i berzanskom robom
6619,"Ostale pomoćne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova"
662,Pomoćne delatnosti u osiguranju i penzijskim fondovima
6621,Obrada odštetnih zahteva i procenjivanje rizika i šteta
6622,Delatnost zastupnika i posrednika u osiguranju
6629,Ostale pomoćne delatnosti u osiguranju i penzijskim fondovima
663,Upravljanje fondovima
6630,Upravljanje fondovima
L,POSLOVANjE NEKRETNINAMA
68,Poslovanje nekretninama
681,Kupovina i prodaja vlastitih nekretnina
6810,Kupovina i prodaja vlastitih nekretnina
682,Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
6820,Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
683,Poslovanje nekretninama za naknadu
6831,Delatnost agencija za nekretnine
6832,Upravljanje nekretninama za naknadu
M,"STRUČNE, NAUČNE, INOVACIONE I TEHNIČKE DELATNOSTI"
69,Pravni i računovodstveni poslovi
691,Pravni poslovi
6910,Pravni poslovi
692,"Računovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje"
6920,"Računovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje"
70,Upravljačke delatnosti; savetovanje u vezi sa upravljanjem
701,Upravljanje ekonomskim subjektom
7010,Upravljanje ekonomskim subjektom
702,Menadžerski konsultantski poslovi
7021,Delatnost komunikacija i odnosa s javnošću
7022,Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
71,Arhitektonske i inženjerske delatnosti; inženjersko ispitivanje i analize
711,Arhitektonske i inženjerske delatnosti i tehničko savetovanje
7111,Arhitektonska delatnost
7112,Inženjerske delatnosti i tehničko savetovanje
712,Tehničko ispitivanje i analize
7120,Tehničko ispitivanje i analize
72,Naučno istraživanje i razvoj
721,Istraživanje i eksperimentalni razvoj u prirodnim i tehničko-tehnološkim naukama
7211,Istraživanje i eksperimentalni razvoj u biotehnologiji
7219,Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama
722,Istraživanje i razvoj u društvenim i humanističkim naukama
7220,Istraživanje i razvoj u društvenim i humanističkim naukama
73,Reklamiranje i istraživanje tržišta
731,Reklamiranje
7311,Delatnost reklamnih agencija
7312,Medijsko predstavljanje
732,Istraživanje tržišta i ispitivanje javnog mnjenja
7320,Istraživanje tržišta i ispitivanje javnog mnjenja
74,"Ostale stručne, naučne i tehničke delatnosti"
741,Specijalizovane dizajnerske delatnosti
7410,Specijalizovane dizajnerske delatnosti
742,Fotografske usluge
7420,Fotografske usluge
743,Prevođenje i usluge tumača
7430,Prevođenje i usluge tumača
749,"Ostale stručne, naučne i tehničke delatnosti"
7490,"Ostale stručne, naučne i tehničke delatnosti"
75,Veterinarske delatnosti
750,Veterinarska delatnost
7500,Veterinarska delatnost
N,ADMINISTRATIVNE I POMOĆNE USLUŽNE DELATNOSTI
77,Iznajmljivanje i lizing
771,Iznajmljivanje i lizing motornih vozila
7711,Iznajmljivanje i lizing automobila i lakih motornih vozila
7712,Iznajmljivanje i lizing kamiona
772,Iznajmljivanje i lizing predmeta za ličnu upotrebu i upotrebu u domaćinstvu
7721,Iznajmljivanje i lizing opreme za rekreaciju i sport
7722,Iznajmljivanje video-kaseta i kompakt-diskova
7729,Iznajmljivanje i lizing ostalih predmeta za ličnu upotrebu i upotrebu u domaćinstvu
773,"Iznajmljivanje i lizing mašina, opreme i materijalnih dobara"
7731,Iznajmljivanje i lizing poljoprivrednih mašina i opreme
7732,Iznajmljivanje i lizing mašina i opreme za građevinarstvo
7733,Iznajmljivanje i lizing kancelarijskih mašina i kancelarijske opreme (uključujući računare)
7734,Iznajmljivanje i lizing opreme za vodeni transport
7735,Iznajmljivanje i lizing opreme za vazdušni transport
7739,"Iznajmljivanje i lizing ostalih mašina, opreme i materijalnih dobara"
774,"Lizing intelektualne svojine i sličnih proizvoda, autorskih dela i predmeta srodnih prava"
7740,"Lizing intelektualne svojine i sličnih proizvoda, autorskih dela i predmeta srodnih prava"
78,Delatnosti zapošljavanja
781,Delatnost agencija za zapošljavanje
7810,Delatnost agencija za zapošljavanje
782,Delatnost agencija za privremeno zapošljavanje
7820,Delatnost agencija za privremeno zapošljavanje
783,Ostalo ustupanje ljudskih resursa
7830,Ostalo ustupanje ljudskih resursa
79,"Delatnost putničkih agencija, tur-operatora, usluge rezervacije i prateće aktivnosti"
791,Delatnost putničkih agencija i tur-operatora
7911,Delatnost putničkih agencija
7912,Delatnost tur-operatora
799,Ostale usluge rezervacije i delatnosti povezane s njima
7990,Ostale usluge rezervacije i delatnosti povezane s njima
80,Zaštitne i istražne delatnosti
801,Delatnost privatnog obezbeđenja
8010,Delatnost privatnog obezbeđenja
802,Usluge sistema obezbeđenja
8020,Usluge sistema obezbeđenja
803,Istražne delatnosti
8030,Istražne delatnosti
81,Usluge održavanja objekata i okoline
811,Usluge održavanja objekata
8110,Usluge održavanja objekata
812,Usluge čišćenja
8121,Usluge redovnog čišćenja zgrada
8122,Usluge ostalog čišćenja zgrada i opreme
8129,Usluge ostalog čišćenja
813,Usluge uređenja i održavanja okoline
8130,Usluge uređenja i održavanja okoline
82,Kancelarijsko-administrativne i druge pomoćne poslovne delatnosti
821,Kancelarijsko-administrativne i pomoćne delatnosti
8211,Kombinovane kancelarijsko-administrativne usluge
8219,"Fotokopiranje, pripremanje dokumenata i druga specijalizovana kancelarijska podrška"
822,Delatnost pozivnih centara
8220,Delatnost pozivnih centara
823,Organizovanje sastanaka i sajmova
8230,Organizovanje sastanaka i sajmova
829,"Poslovne, pomoćne, uslužne i ostale delatnosti"
8291,Delatnost agencija za naplatu potraživanja i kreditnih biroa
8292,Usluge pakovanja
8299,Ostale uslužne aktivnosti podrške poslovanju
O,DRŽAVNA UPRAVA I ODBRANA; OBAVEZNO SOCIJALNO OSIGURANjE
84,Javna uprava i odbrana; obavezno socijalno osiguranje
841,"Državna uprava, ekonomska i socijalna politika "
8411,Delatnost državnih organa
8412,"Uređivanje delatnosti subjekata koji pružaju zdravstvenu zaštitu, usluge u obrazovanju i kulturi i druge društvene usluge, osim obaveznog socijalnog osiguranja"
8413,Uređenje poslovanja i doprinos uspešnijem poslovanju u oblasti ekonomije
842,Pomoćne aktivnosti za funkcionisanje države
8421,Spoljni poslovi
8422,Poslovi odbrane
8423,Sudske i pravosudne delatnosti
8424,Obezbeđivanje javnog reda i bezbednosti
8425,Delatnost vatrogasnih jedinica
843,Obavezno socijalno osiguranje
8430,Obavezno socijalno osiguranje
P,OBRAZOVANjE
85,Obrazovanje
851,Predškolsko obrazovanje
8510,Predškolsko obrazovanje
852,Osnovno obrazovanje
8520,Osnovno obrazovanje
853,Srednje obrazovanje
8531,Srednje opšte obrazovanje
8532,Srednje stručno obrazovanje
854,Visoko obrazovanje
8541,Obrazovanje posle srednjeg koje nije visoko
8542,Visoko obrazovanje
855,Ostalo obrazovanje
8551,Sportsko i rekreativno obrazovanje
8552,Umetničko obrazovanje
8553,Delatnost škola za vozače
8559,Ostalo obrazovanje
856,Pomoćne obrazovne delatnosti
8560,Pomoćne obrazovne delatnosti
Q,ZDRAVSTVENA I SOCIJALNA ZAŠTITA
86,Zdravstvene delatnosti
861,Delatnost bolnica
8610,Delatnost bolnica
862,Medicinska i stomatološka praksa
8621,Opšta medicinska praksa
8622,Specijalistička medicinska praksa
8623,Stomatološka praksa
869,Ostala zdravstvena zaštita
8690,Ostala zdravstvena zaštita
87,Socijalna zaštita sa smeštajem
871,Delatnosti smeštajnih ustanova s medicinskom negom
8710,Delatnosti smeštajnih ustanova s medicinskom negom
872,"Socijalno staranje u smeštajnim ustanovama za lica s teškoćama u razvoju, duševno obolele osobe i osobe s bolestima zavisnosti"
8720,"Socijalno staranje u smeštajnim ustanovama za lica s teškoćama u razvoju, duševno obolele osobe i osobe s bolestima zavisnosti"
873,Rad ustanova za stara lica i lica s posebnim potrebama
8730,Rad ustanova za stara lica i lica s posebnim potrebama
879,Ostali oblici socijalne zaštite sa smeštajem
8790,Ostali oblici socijalne zaštite sa smeštajem
88,Socijalna zaštita bez smeštaja
881,Socijalna zaštita bez smeštaja za stara lica i lica s posebnim potrebama
8810,Socijalna zaštita bez smeštaja za stara lica i lica s posebnim potrebama
889,Ostala socijalna zaštita bez smeštaja
8891,Delatnost dnevne brige o deci
8899,Ostala nepomenuta socijalna zaštita bez smeštaja
R,UMETNOST; ZABAVA I REKREACIJA
90,"Stvaralačke, umetničke i zabavne delatnosti"
900,"Stvaralačke, umetničke i zabavne delatnosti"
9001,Izvođačka umetnost
9002,Druge umetničke delatnosti u okviru izvođačke umetnosti
9003,Umetničko stvaralaštvo
9004,Rad umetničkih ustanova
91,"Delatnost biblioteka, arhiva, muzeja galerija i zbirki i ostale kulturne delatnosti"
910,"Rad biblioteka, arhiva, muzeja, galerija i zbirki, zavoda za zaštitu spomenika kulture i ostale kulturne delatnosti "
9101,Delatnosti biblioteka i arhiva
9102,Delatnost muzeja galerija i zbirki
9103,"Zaštita i održavanje nepokretnih kulturnih dobara, kulturno-istorijskih lokacija, zgrada i sličnih turističkih spomenika"
9104,Delatnost botaničkih i zooloških vrtova i zaštita prirodnih vrednosti
92,Kockanje i klađenje
920,Kockanje i klađenje
9200,Kockanje i klađenje
93,"Sportske, zabavne i rekreativne delatnosti"
931,Sportske delatnosti
9311,Delatnost sportskih objekata
9312,Delatnost sportskih klubova
9313,Delatnost fitnes klubova
9319,Ostale sportske delatnosti
932,Ostale zabavne i rekreativne delatnosti
9321,Delatnost zabavnih i tematskih parkova
9329,Ostale zabavne i rekreativne delatnosti
S,OSTALE USLUŽNE DELATNOSTI
94,Delatnosti udruženja
941,Delatnost poslovnih i profesionalnih organizacija i poslodavaca
9411,Delatnosti poslovnih udruženja i udruženja poslodavaca
9412,Delatnosti strukovnih udruženja
942,Delatnost sindikata
9420,Delatnost sindikata
949,Delatnost ostalih organizacija na bazi učlanjenja
9491,Delatnost verskih organizacija
9492,Delatnost političkih organizacija
9499,Delatnost ostalih organizacija na bazi učlanjenja
95,Popravka računara i predmeta za ličnu upotrebu i upotrebu u domaćinstvu
951,Popravka računara i komunikacione opreme
9511,Popravka računara i periferne opreme
9512,Popravka komunikacione opreme
952,Popravka predmeta za ličnu upotrebu i upotrebu u domaćinstvu
9521,Popravka elektronskih aparata za široku upotrebu
9522,Popravka aparata za domaćinstvo i kućne i baštenske opreme
9523,Popravka obuće i predmeta od kože
9524,Održavanje i popravka nameštaja
9525,Popravka satova i nakita
9529,Popravka ostalih ličnih predmeta i predmeta za domaćinstvo
96,Ostale lične uslužne delatnosti
960,Ostale lične uslužne delatnosti
9601,Pranje i hemijsko čišćenje tekstilnih i krznenih proizvoda
9602,Delatnost frizerskih i kozmetičkih salona
9603,Pogrebne i srodne delatnosti
9604,Delatnost nege i održavanja tela
9609,Ostale nepomenute lične uslužne delatnosti
T,DELATNOST DOMAĆINSTVA KAO POSLODAVCA; DELATNOST DOMAĆINSTAVA KOJA PROIZVODE ROBU I USLUGE ZA SOPSTVENE POTREBE
97,Delatnost domaćinstava koja zapošljavaju poslugu
970,Delatnost domaćinstava koja zapošljavaju poslugu
9700,Delatnost domaćinstava koja zapošljavaju poslugu
98,Delatnost domaćinstava koja proizvode robu i usluge za sopstvene potrebe
981,Delatnost domaćinstava koja proizvode robu za sopstvene potrebe
9810,Delatnost domaćinstava koja proizvode robu za sopstvene potrebe
982,Delatnost domaćinstava koja obezbeđuju usluge za sopstvene potrebe
9820,Delatnost domaćinstava koja obezbeđuju usluge za sopstvene potrebe
U,DELATNOST EKSTERITORIJALNIH ORGANIZACIJA I TELA
99,Delatnost eksteritorijalnih organizacija i tela
990,Delatnost eksteritorijalnih organizacija i tela
9900,Delatnost eksteritorijalnih organizacija i tela
